topic,team_a_args,team_b_args,winner
We should ban cosmetic surgery,"a lot of times the physical and emotional after effects of cosmetic surgery defeat the main purpose of getting the surgery. cosmetic surgery can be dangerous, sometimes resulting in death. it reinforces the belief in the social standard of beauty.  it can victimize our teens and is becoming very lucrative for the doctors pushing it. cosmetic surgery contributes to the mythical ideal body, the pursuit of which causes depression, anxiety and eating disorders in young people. cosmetic surgery creates an unhealthy self image cosmetic surgery creates a great desire for physical improvement that leads to an endless loop of body adjustments which has a detrimental effect on the individual.","banning cosmetic surgery would prevent those hurt in an accident or anything similar from getting back any part of their normal previous selves. cosmetic surgery aids in reconstructive surgeries such as those who have has a mastectomy or have physical repairable birth defects. cosmetic surgery allows those hurt in accidents, or disformed in other ways,  feel better about themselves my regaining some of their natural looks. banning cosmetic surgery would force people with disfigurements to live that way the rest of their lives which would cause emotional problems. cosmetic surgery can help improve one's self-image in cases of disfiguration and injuries that may have left physical damage that can be repaired with this type of procedure.",Team B
We should ban cosmetic surgery for minors,"young people's bodies are not yet fully developed and there should be no surgical intervention unless strictly necessary. a child is still growing, physically and mentally, cosmetic surgery should not be considered until they are an adult and able to make these decisions a child's body is still developing and the faults that a child sees in themselves may resolve when they're an adult young people are still developing, and cosmetic surgery done too soon could hamper their development and harm their self-esteem young children are not capable of knowing what is necessary and what isn't","bullying and insecurities are rampant in a teenagers world. it has very serious effects. if a little bit of plastic surgery would solve this, it should be allowed. it's worth it to prevent major emotional pain. burn victims, even minors, can benefit from cosmetic surgery. Broad stroke policies like banning cosmetic surgery harm people in special circumstances who really need cosmetic surgery. even minors have the right to bodily autonomy and should be allowed to decide for themselves whether to have cosmetic surgery. if a child is born with congenital defects, then cosmetic surgery can help them to lead a normal life.",Team A
We should ban fast food,"Fast food can lead to obesity, heart disease and other health problems if not taken in moderation. fast food causes obesity and many illnesses including heart problems or even cancer. fast food has lead to an increase in obesity and diabetes fast food has proven to be detrimental to the health of all people and should be banned immediately. Fast food is a leading cause of obesity in the world and needs to be banned.","Everyone should have the freedom to choose what they eat and fast food is perfectly fine when eaten in moderation, it also plays an important purpose in modern society so it definitely should not be banned. fast food offers a variety of healthy choices and is convenient for those in the workplace that do not have time for making a full meal. Fast food provides a cheap and consistent meal for many people who see it as an occasional meal or treat and this should not be restricted because others cannot make good dietary choices. fast food is great for when you are travelling or have done overtime at work; it enables you to get something hot to eat when you don't have the time to prepare it yourself. fast food is a quick and affordable option for many people.",Team A
We should ban naturopathy,"a consumer doesn't know what's really in natural remedies since there is no regulation we should ban naturopathy since it has no scientific basis and has no medical benefit beyond the placebo effect. a lot of naturopaths suggest things without scientific backing, which may harm the patient. we should ban naturopathy because it is dangerous for people to not see real doctors. they are risking their own health but also can spread their diseases to others if they don't get treatment. there is no scientific evidence that shows naturopathy works","we should not ban naturopathy because some people, who are no longer good candidates for traditional treatment, might receive some benefit for a natural treatment at the end of their lives. we should allow people to choose their own treatment.  banning naturopathy is government overreach. we should allow naturopathy to continue as it provides treatments that at less harmful to the body compared to the man made chemicals. we cannot write off all naturopathic treatments, if we had done so in the past there would be no modern medicine today there is nothing wrong with seeking more natural remedies than relying on harmful and addictive pharmaceutical drugs.",Team A
We should ban telemarketing,"it is a form of harassment to be contacted constantly by telemarketers. it is annoying and violates people's privacy telemarketing is a pock mark on society. it disrupts peoples lives, causes extreme aggravation and pushes unwanted products and services on the poor, elderly and those prone to being taken advantage of. telemarketers exist only to scam people out of their money. they lie and use dishonest marketing tactics to get consumers to bend to their will. telemarketers are a nuisance and waste our valuable time.","Banning is an extreme measure, it should be used only when real harm is done, which isn't the case here. Banning telemarketing will create job losses for many people who work in this industry. banning telemarketing would be a breach of people's right to freedom of speech banning telemarketing puts an unfair limit on a business's ability to find customers. if telemarketing is banned then millions of people will be instantly out of jobs",Team A
We should ban the use of child actors,"acting takes children away from their education and normal childhood pursuits child actors are forced to grow up much too soon and behave as though they are adults. we need to give them chance to be children. child actors are forced to work really long hours, and are usually taken out of regular school, possibly harming their development. Child acting is causing a lot of children to be exposed to grown up situations resulting in earlier sexual activity and drug use. They don't do things a normal child does and it usually causes depression. child actors are all too often traumatised or abused so their use should be banned.","acting is an art and not a job so banning the use of children in acting roles is preventing children from exploring their creative ability in that area and should not be banned. as long as the child really wants to do it and is being properly supervised, they should be allowed to act. banning child actors is simply impractical; it is better to enforce regulation to protect these actors. children make important contributions in the entertainment industry.  banning child actors punishes the victims rather than the perpetrators of predatory or exploitative behavior children should be able to follow their passion too as long as it’s done safely and responsibly",Team A
We should ban whaling,"Animals have rights, and we as custodians of nature have an obligation to them to protect them from this cruel and needless death banning whaling would help save the already diminished whale population. banning whaling is the most humane thing we can do to help. It is impossible to humanely kill a whale and no creature deserves such a painful and gruesome death. killing whales is cruel and inhumane and if we don't ban it now we risk losing the entire whale species.","Banning will not work. We should focus on regulating it instead of creating a black market. if carefully regulated, controlled whaling benefits the whalers business and does not cause a devastating impact to the oceans ecobalance. many people benefit from the whaling industry and depend on it for their livelihood Some groups of people need whales for survival. They use as much of the whale as possible for food, heating oil, and more. some native cultures rely on whaling for sustenance",Team A
We should cancel pride parades,"pride parades bring town life to a standstill when roads are closed. it is also offensive to some people. pride parades are unnecessary in the modern west as we recognise the freedom of people to engage in consensual same sex relationships already. pride parades bring negative attention to the lgbt community and should be stopped pride parades are a drain on public resources due to the security costs incurred. pride parades are often focal points for civil unrest and protest of extremist groups, and thousands of police hours are occupied by them.","cancelling pride parades goes against what they stand for.  those parades are vital for spreading acceptance. pride parades allow lgbtq community to have something to rally around. Pride parades allow communities to be open and free about their lifestyles in a way that everyone else can all the time, they are fun, community events that go beyond the LGBTQ communities. pride parades are a celebration of life and are generally peaceful and happy. if pride parades are canceled, then many lgbtq+ youth will have nowhere to safely celebrate who they are.",Team B
We should close Guantanamo Bay detention camp,"any prison system that inflicts torture is against the laws of the u.s.a. and should be stopped. By violating the human rights of detainees at Guantanamo Bay, the U.S. loses its authority to request from other countries to stop their human rights violations. guantanamo bay detection camp has violated human rights agreements and should therefore be closed at once. Creating such a secluded environment for this detention camp has encouraged and legitimized unlawful and immoral behaviour on the part of the soldiers in charge of the detainees. Circumventing the law by building detention camps off of US soil makes a mockery of the very institutions America is trying to protect.","america needs a place to safely incarcerate the most heinous of terrorists and state enemies safely to protect its citizens. guitmo does this perfectly guantanamo bay detection camp has proven to be effective in dealing with modern terrorism, so we should be happy to keep it guantanamo bay detection camp offers an essential form of law enforcement and imprisonment for serious criminals and has provided important intelligence in ongoing surveillance. guantanamo bay allows the extraction of information from terrorists, information that is vital to our national security guantanamo bay should not be closed because it is able to successfully house dangerous criminals.",Team A
We should end affirmative action,"affirmative action breeds resentment in the workplace and demoralization in the job market affirmative action bypasses people who may be highly skilled but as they are not in a protected minority class can be turn down for employment by someone less skilled. affirmative action breeds further resentment toward groups of society that are or were the subject of discrimination. equal opportunity is the best approach affirmative action discriminates the majority, preventing skilled workers from gaining employment over someone less qualified but considered to be a member of a protected minority group. Affirmative action diminishes the credit that women and minorities receive for their accomplishments, as people will claim their success is due to systems of affirmative action rather than their own hard work.","affirmative action  is still needed when there is inequality in society. affirmative action corrects for generations of wrong-doing and should not be discarded. affirmative action allows those who may be marginalized to progress in the work environment Affirmative action doesn't remove the need to be qualified in order to receive acceptance at a job or university, but rather forces institutions to consider people of diverse backgrounds when they historically haven't. affirmative action ensures minorities from lesser backgrounds have a chance at employment or schooling",Team A
We should end mandatory retirement,"as people are living longer mandatory retirement is forcing those who can still positively contribute to the workforce  to be sidelined as life expectancy and healthy ageing continue to grow mandatory retirement no longer makes sense. Allowing workers to choose when they retire can improve staff retention, increase workforce morale, and help employers retain vital skills and experience Ending mandatory retirement sends the message that workers of all ages have inherent worth. Ending mandatory retirement will help reduce the burden of older populations on state pension systems.","if retirees continue to work past retirement age, there will never be a natural progression through the workplace for the younger generation. by having mandatory retirement we are opening job positions for the younger people who need to being their workforce life. they bring new ideas to the workforce that will benefit society. certain professions, such as police officer and air traffic controller, have mandatory retirement ages  to ensure that the person who is responsible for the safety of others remains competent to do his job By freeing up space across professional hierarchies mandatory retirement provides more opportunities for career growth and upward mobility for younger people. at many physical jobs, having someone past a certain age can become a liability and a mandatory retirement age will be a good leveling tactic.",Team B
We should end racial profiling,it enforces the stereotype that all people of a certain race are dangerous criminals no one should be thought to be suspicious just because of their race or color. It is immoral to target a particular group based simply on their race of ethnicity. it is discrimanatory to use racial profiling which in turn alienates those on the receiving end of this type of profiling. it is a racist policy and should have no part in a civilized society,"any statistical study and classification methods that can improve detection rates and cut crime are valid, irrespective of how ethically sensitive they might be. racial profiling allows for identifying known criminals that belong to certain minority groups, decreasing a vast number of potential suspects in a case. figures show that certain crimes are perpetrated more by certain races, thus racial profiling is a helpful shortcut for law enforcement. racial profiles helps law enforcement agencies to target their resources to where they are most effective racial profiling targets the people and populations most likely to cause or commit crimes and allows law enforcement to put their time to more effective use.",Team A
We should end the use of economic sanctions,economic sanctions affect the poor more than the tyrants economic sanctions are controversial and punish primarily innocent and poor people who are living on a day-to-day basis to get something to eat Economic sanctions are a threat that does not result in any action by the government and often hurt the populations of both countries rather than those in power therefore we should end them. economic sanctions affect the workers of the sanctioned countries and not the leaders economic sanctions affect the poorest in the country affected and those at the top do not feel the effects,"by imposing economic sanctions against a country you will force them to change the way they are doing things because it creates a hardship for the citizens who will in turn rebel against the government economic sanctions are a good thing. we need to take care of our own people first and economic sanctions can make that happen. economic sanctions are a vital peaceful method of deterring, reversing and punishing behavior that infringes for example international treaties or international human rights. there is no better alternative economic sanctions are a peaceful and effective way of encouraging diplomacy and affecting change in countries committing unethical acts, without the use of any violence economic sanctions are a viable and peaceful alternative to war",Team A
We should fight for the abolition of nuclear weapons,"We should fight for the abolition of nuclear weapons because even one nuclear strike could lead to mutually assured destruction. we should fight for the abolition of nuclear weapons as they can cause catastrophic consequences and can cause unspeakable suffering. we should fight for the abolition of nuclear weapons as the destruction that would be caused by their use in a war would be devastating for the countries targeted. they are dangerous and give countries the power to wipe out each other. by doing away with nuclear weapons, we can make the world safer from war and accidental explosions.","abolition is futile.  there will be some countries that refuse to comply, which will mean only terrorist counties will have these devestatingly destructive weapons allowing nations to have nuclear weapons contributes to peace as nobody wants to start a war that will result in mutual destruction. keeping nuclear weapons make sure that our country is protected it is important for us to have nuclear weapons so we can adequately protect ourselves from our enemies. nuclear weapons have helped keep the peace in a dangerous and uncertain world for several decades",Team A
We should fight urbanization,"increasing urbanization can have negative impacts on the natural enviroment dense cities concentrate pollution. urbanization destroys green space, which has been shown to have a detrimental effect on human mental states. urbanization destroys natural habitat and crowds people together.  urbanization means larger police forces and more crime. urbanization creates overcrowding and pollution","urbanization allows populations easier access to food and services that improve quality of life. urbanization allows people greater access to education, jobs and healthcare. urbanization brings people closer to the services that they need urbanization brings money and services into an area. urbanization allows for more employment opportunities, greater housing options as well as access to employment.",Team A
We should introduce compulsory voting,"a high turnout is important for a proper democratic mandate and the functioning of democracy a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate. a lack of voting leads to a situation were their isn't fair representation in parliament. by requiring all citizens to vote, we would be able to elect politicians who more accurately represent the public's will. all citizens should be compelled to vote to voice their opinion on who should be our elected leaders. apathy in selecting our political leaders is detrimental to our society.","being forced to do anything inhibits freedom. citizens have freedom to choose if they want to participate in the political  process including abstaining from voting if they choose. forcing a person to vote dilutes the meaning of the process. compulsory voting is not a democratic choice, for people  should always be allowed to express their dissent by abstaining from voting . compulsory voting is a violation of civil rights compulsory voting is an infringement on personal choice",Team A
We should legalize organ trade,"a democratic and free society is said to respect bodily autonomy, therefore we should have the right to do what we want with our organs, including using them in a legal organ trade a legalised organ trade would increase the amount of stock available for medical procedures, and allow the procedure to become safer and more regulated. a legalised organ trade would dramatically improve the stock of transplant organs, saving lives. by legalizing the organ trade you are keeping it out of the black market and the criminals who are already making money off it. as long as they are properly informed, someone should be allowed to sell organs for compensation if they so choose.","A legalized market would exploit the poor who, as a result of financial problems, would be the ones most likely to sell their organs. by allowing the organ trade the poorest of society will resort to selling body parts just to survive which will harm them in the end. legalizing the organ trade can lead to a black market for organs, where people could be kidnapped just to have their organs confiscated. legalising the organ trade would be unethical. allowing people to buy and trade organs would place a burden on the poorest people, as they would feel pressure to sell their organs. legalizing organ trade could lead to some horrific situations such as organs being taken from unwilling donors.",Team A
We should legalize polygamy,"as long as there is no forced marriages going on and these people absolutely love each other, and the others that person is married to doesn't effect them, why can't we make it legal? everyone should have their own right to choose who and how many people they want to marry, it is unconstitutional to limit this. consenting adults should be able to marry as many people as they want in this day and age, we recognize non-traditional family structures as legitimate and polygamy should be no different. legalizing polygamy could result in much more stable lives for many families, more adults in the house would mean less strain on finances and more people to care for the children.","Children who grow up in polygamous households have poor academic performance compared to those who grow up in monogamous families. in a polygamous relationship, a wife can become more obedient to her husband fearing that she might be replaced with a new wife marriage is about loving another person and being faithful to that person for life.   there is none of that when there is polygamy.   men should not be allowed to have multiple marriage partners. Legalizing polygamy will cause the rate of mental health issues to climb as people become more and more insecure about their spousal relationships. it's an outdated practice that is detrimental to the equality between men and women.",Team B
We should legalize prostitution,"women should have the right to decide what to do with their body and that should include being able to sell it. a man or woman has the right to do what they wish with their body, and if they choose to sell it for sex, the government should not interfere. being able to control prostitution will allow us to drastically reduce some crimes and better serve the health of the workers and prevent the spread of sex diseases a woman should have the right to use her body however she wants to support herself. legalising prostitution will ensure the safety of both the sex trade worker and client","banning prostitution is must for all of us who cares about moral and dignity of women. legalizing prostitution has the potential to increase sex trafficking legalising prostitution could lead to more serious crimes such as women becoming involved in the drug trade or people trafficking. prostitution can lead to human trafficking, even of children Prostitutes are subject to cruel and degrading treatment by both their pimps and clients. This is not a profession that should be legalized, it should be eradicated.",Team A
We should legalize sex selection,families should have the right to choose the sex of their babies. parents should have the right to decide what gender of child they want. legalizing sex selection is the right thing for personal freedom of choice. legalizing sex selection is a good option for people looking to have a specific sex of child. Legalizing sex selection will help parents to have the exact family makeup they have always dreamed of.,"allow the selection of sex could alter the natural order of things Behind the innocent phrase  of""sex selection"" there's actually medical procedures that could be harmfull for the mother, and in other cases means abortions, which are very controversial. every child has a right to be born regardless of their gender so sex selection should not be legalized. most people believe that sex selection is immoral and unethical and leads to serious societal issues. legalizing the selection of sex goes against the moral and natural principles of society",Team A
We should limit executive compensation,"executive compensation is a joke. it's executives rewarding themselves on the backs of shareholders regardless of how well a company performs. executive compensation creates a barrier between the ""executives"" and the ""workers"" and should be limited to a level that doesn't create such a different world between the two Executive compensation should be limited as it is discouraging for a workforce when they can see higher management being paid exorbitant amounts of money. executive compensation should be limited in order to narrow the wage gap between c-level employees and line workers executive compensation is abuse of unregulated capitalism and concentrates wealth into a very small number of people.","attracting the best talent means companies have to offer the best executive compensation package they can afford for the future profitability of the company. companies should be allowed to pay their staff as much as they wish to by paying executives a high amount of money, companies can get a better quality of leadership leading to a more profitable business. executive compensation allows companies to get the best talent executive compensation should not be limited because it would act as a barrier to companies that have to compete in the international marketplace for the best talent",Team A
We should limit judicial activism,"a judge's role is not to flaunt laws and override guidance but to enforce it. judicial activism is a step too far a judge's opinion should not take precedent over official laws. a judge is suppose to uphold the rule of law, not alter it with their own opinions/views/beliefs. judicial activism allows judges to play a legislative role which destroys the balance of power inherent to our form of government judicial activism can be used to push  an agenda that does not line up with the country's best interest.","judicial activism can be beneficial if a judge rules in favour and over turns rules that have previously predjudiced against minorities or unfair rules judicial activism allows lawful recourse in circumstances of possible justice miscarriages, and is an extra protection against possible corruption and obstructive 'influence' in the higher court. judicial activism can be beneficial in some cases. judicial activism allows poorly or misconceived legislation to be reconsidered if the legislature and/or executive branches violate the constitution, judicial activism is a remedy for this.",Team A
